N_arv;UPA;UT;Nome_Cientifico;Nome_Popular;DAP_cm;Alt;Categoria;QF;Vol;g;lat;lon
50286;6;5;Simarouba amara;Marupá;50,93;17;Explorar;2;2,3452;0,2037;-5,909841;-54,946817
50287;6;5;Handroanthus impetiginosum;Ipê-roxo;94,86;23;Explorar;1;10,4899;0,7067;-5,909847;-54,946853
50288;6;5;Astronium lecointei;Muiracatiara;57,3;20;Explorar;1;3,4642;0,2578;-5,909561;-54,946847
50289;6;5;Manilkara elata;Maçaranduba;40,43;14;Remanescente;3;1,1457;0,1284;-5,90913;-54,946737
50290;6;5;Syzygiopsis oppositifolia;Guajará bolacha;105,04;25;Remanescente;1;13,2353;0,8666;-5,908042;-54,946953
50291;6;5;Brosimum parinarioides;Amapá;62,07;18;Remanescente;1;3,8303;0,3026;-5,907954;-54,946831
50292;6;5;Goupia glabra;Cupiúba;82,76;13;Explorar;1;5,4006;0,5379;-5,907179;-54,946854
50293;6;5;Castilla ulei;Caucho;47,75;10;Remanescente;2;1,3542;0,179;-5,904515;-54,94685
50294;6;5;Micropholis melinoniana;Currupixá;48,38;16;Remanescente;1;1,9842;0,1839;-5,904122;-54,946761
50295;6;5;Manilkara elata;Maçaranduba;91,67;19;Explorar;1;8,6062;0,66;-5,903986;-54,946843
50296;6;5;Manilkara elata;Maçaranduba;66,85;17;Explorar;2;4,3031;0,3509;-5,902649;-54,946825
50297;6;5;Manilkara elata;Maçaranduba;42,97;14;Remanescente;1;1,3403;0,145;-5,902566;-54,946831
50298;6;5;Manilkara elata;Maçaranduba;50,93;15;Explorar;1;2,1395;0,2037;-5,902504;-54,946898
50299;6;5;Holopyxidium jarana;Jarana;71,62;14;Remanescente;1;4,301;0,4029;-5,901369;-54,946816
50300;6;5;Holopyxidium jarana;Jarana;46,15;13;Remanescente;1;1,517;0,1673;-5,901028;-54,946803
50301;6;5;Couratari guianensis;Tauari;50,93;21;Explorar;1;2,7339;0,2037;-5,900798;-54,946825
50302;6;5;Astronium lecointei;Muiracatiara;65,25;18;Explorar;1;4,2641;0,3344;-5,900504;-54,946889
50303;6;5;Goupia glabra;Cupiúba;48,06;14;Remanescente;1;1,7698;0,1814;-5,900368;-54,946873
50304;6;5;Astronium lecointei;Muiracatiara;71,3;17;Remanescente;1;4,9162;0,3993;-5,900321;-54,946871
50305;6;5;Astronium lecointei;Muiracatiara;65,25;19;Explorar;1;4,4349;0,3344;-5,900905;-54,947131
50306;6;5;Manilkara elata;Maçaranduba;72,26;14;Substituta;1;4,3786;0,4101;-5,901117;-54,947118
50307;6;5;Couratari guianensis;Tauari;111,41;19;Substituta;1;11,9483;0,9748;-5,902025;-54,946944
50308;6;5;Vochysia maxima;Quaruba;50,93;18;Explorar;1;2,4451;0,2037;-5,902179;-54,947
50309;6;5;Bertholletia excelsa;Castanheira;68,44;16;Remanescente;1;4,3232;0,3678;-5,90252;-54,94717
