Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: 82861
Latitude: -8.25916666
Longitude: -49.26388888
Altitude: 179.02
Situacao: Operante
Data Inicial: 1984-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);
1984-08-08;0;26,64;84,25;
1984-08-09;0;27,08;84,5;
1984-08-10;0;27,58;81;
1984-08-11;0;26,56;84,5;
1984-08-12;0;26,82;87,25;
1984-08-13;0;27,22;88;
1984-08-14;0;28,08;85,25;
1984-08-15;0;27,32;89,75;
1984-08-16;0;26,28;96;
1984-08-17;0;26,84;90,75;
1984-08-18;0;27,02;95,75;
1984-08-19;10,5;27,06;88,25;
1984-08-20;0;26,38;85,5;
1984-08-21;0;26,92;86,75;
1984-08-22;0;26,46;86,25;
1984-08-23;0;26,62;91;
1984-08-24;0;27;89,5;
1984-08-25;0;27,42;85,75;
1984-08-26;0;26,46;87,5;
1984-08-27;0;24,6;91;
1984-08-28;0;23,88;96,75;
1984-08-29;0;27,08;91;
1984-08-30;3;25,96;91;
1984-08-31;0;25,66;91;
1984-09-01;2,8;24,26;null;
1984-09-02;5,2;26,76;null;
1984-09-03;0;27,12;null;
1984-09-04;0;26,34;null;
1984-09-05;0;26,98;null;
1984-09-06;0;26,02;null;
1984-09-07;0;26,14;null;
1984-09-08;0;26,94;null;
1984-09-09;0;27,88;null;
1984-09-10;0;29,32;null;
1984-09-11;3,8;24,94;null;
1984-09-12;,8;24,52;null;
1984-09-13;0;27,38;null;
1984-09-14;0;27,48;null;
1984-09-15;0;26,82;null;
1984-09-16;0;26,7;null;
1984-09-17;2,5;24,44;null;
1984-09-18;0;27,76;null;
1984-09-19;5,8;26,24;null;
1984-09-20;0;28,34;null;
1984-09-21;0;25,34;null;
1984-09-22;8,1;26,96;null;
1984-09-23;0;28,42;null;
1984-09-24;0;26,44;null;
1984-09-25;20,5;25,9;null;
1984-09-26;0;27,48;null;
1984-09-27;0;27,68;null;
1984-09-28;0;26,3;null;
1984-09-29;0;26,66;null;
1984-09-30;0;28,9;90,5;
1984-10-01;19,9;26,22;97;
1984-10-02;0;25,32;98;
1984-10-03;8;26,34;93,75;
1984-10-04;0;28,24;93,5;
1984-10-05;0;28,2;93,5;
1984-10-06;0;26,88;95,5;
1984-10-07;10,6;25,04;97,5;
1984-10-08;16,4;25,6;96;
1984-10-09;0;27,18;94,25;
1984-10-10;0;27,96;90,5;
1984-10-11;0;28,06;90,5;
1984-10-12;0;26,32;94,25;
1984-10-13;18,6;26,2;97;
1984-10-14;0;26,92;97;
1984-10-15;0;25,34;98;
1984-10-16;,1;26,12;96,25;
1984-10-17;0;25,76;97,5;
1984-10-18;0;25,28;95,75;
1984-10-19;,4;25,1;96;
1984-10-20;,8;26,52;96,25;
1984-10-21;0;25,12;98;
1984-10-22;33,6;23,24;98,5;
1984-10-23;13,8;26,5;96,25;
1984-10-24;23,1;24,06;97,75;
1984-10-25;3,2;23,98;98,5;
1984-10-26;33,4;23,74;99;
1984-10-27;3,4;23,12;98,75;
1984-10-28;,7;25,12;97;
1984-10-29;0;25,82;96;
1984-10-30;30;23,54;97;
1984-10-31;,8;26,1;96,25;
